fold num,imgid,label,feature1,feature2,feature3
8,image (656).JPG,0,57.0,34.0,337.50461411476135
9,image (344).JPG,0,79.0,1.5,523.3279888629913
0,image (1264).JPG,0,11680,1062.0,365.20309841632843
1,image (880).JPG,0,9027,1400.5,566.2741661071777
2,image (1609).JPG,0,32853,2330.0,919.9381605386734
3,image (1386).JPG,0,74.5,0,677.0853482484818
4,image (178).JPG,0,16786,957.5,657.8965303897858
5,image (683).JPG,0,16647,2169.0,824.1219260692596
6,image (1333).JPG,0,19116,219.0,480.7594473361969
7,image (778).JPG,0,46.5,0,617.9726504087448
8,image (722).JPG,0,1830,836.0,172.30865597724915
9,image (922).JPG,0,154.0,0.0,1146.1118214130402
0,image (426).JPG,0,119.5,0,612.080295920372
1,image (664).JPG,0,14300,205.5,421.9310202598572
2,image (1061).JPG,0,69.5,0.0,445.62950456142426
3,image (743).JPG,0,105.0,7.0,1046.8326029777527
4,image (581).JPG,0,48.5,0,290.29141104221344
5,image (1256).JPG,0,5175,1002.5,356.96045780181885
6,image (1021).JPG,0,40424,10952.0,919.979790687561
7,image (742).JPG,0,10934,252.0,390.534051656723
8,image (78).JPG,0,17250,931.5,559.6711347103119
9,image (1572).JPG,0,102.5,0.0,878.3645666837692
0,image (709).JPG,0,6.0,0,63.5979790687561
1,image (1002).JPG,0,63.5,21.5,641.0853482484818
2,image (375).JPG,0,9982,1671.5,529.0437180995941
3,image (331).JPG,0,57.0,2.5,571.8721451759338
4,image (872).JPG,0,28842,1634.0,804.6660823822021
5,image (553).JPG,0,88.0,0,743.4112491607666
6,image (1142).JPG,0,15444,286.5,588.0731556415558
7,image (565).JPG,0,13013,3348.0,745.2762540578842
8,image (1222).JPG,0,38308,7527.5,857.5777697563171
9,image (440).JPG,0,69.0,0,461.5289993286133
0,image (612).JPG,0,11284,117.0,554.6000670194626
1,image (1181).JPG,0,17680,948.5,556.4751765727997
2,image (817).JPG,0,24564,603.0,623.9970356225967
3,image (828).JPG,0,28536,5889.0,817.1513636112213
4,image (370).JPG,0,21070,265.5,611.2518688440323
5,image (386).JPG,0,6254,629.5,284.2497808933258
6,image (647).JPG,0,66.5,24.5,575.2863587141037
7,image (1148).JPG,0,110.0,55.5,846.2640614509583
8,image (257).JPG,0,62.5,0,376.03152549266815
9,image (354).JPG,0,107.5,0,553.7960251569748
0,image (717).JPG,0,80.5,0,418.94321286678314
1,image (1591).JPG,0,123.5,17.0,1046.3889518976212
2,image (1141).JPG,0,18166.0,21.5,614.2985513210297
3,image (418).JPG,0,24308,499.5,597.5706294775009
4,image (704).JPG,0,23278,57.5,563.8305150270462
5,image (68).JPG,0,23490,675.0,562.6416971683502
6,image (1495).JPG,0,7497,624.5,449.48736917972565
7,image (1428).JPG,0,32964,312.0,696.9848430156708
8,image (734).JPG,0,98.5,0.0,653.9381605386734
9,image (1017).JPG,0,30736,12687.0,685.3523740768433
0,image (1189).JPG,0,13764,1106.5,486.0975408554077
1,image (48).JPG,0,137.5,13.5,1106.4722121953964
2,image (261).JPG,0,35313,228.5,867.8620405197144
3,image (1390).JPG,0,35.5,0,219.86500489711761
4,image (254).JPG,0,87.0,0,635.269113779068
5,image (653).JPG,0,35.0,0.0,350.04877042770386
6,image (1526).JPG,0,36.0,0,235.42135381698608
7,image (1178).JPG,0,55.0,0,329.1614682674408
8,image (263).JPG,0,35.5,0,289.3208485841751
9,image (204).JPG,0,33635,4404.5,1076.2712017297745
0,image (760).JPG,0,34.5,0,368.97770273685455
1,image (1484).JPG,0,36348,1369.0,795.7371500730515
2,image (1229).JPG,0,33152,1575.0,1076.891478061676
3,image (1581).JPG,0,31050,401.0,888.5310872793198
4,image (782).JPG,0,56.0,0,370.4751765727997
5,image (149).JPG,0,52.0,0,349.1614682674408
6,image (836).JPG,0,25641,8471.0,808.080295920372
7,image (87).JPG,0,30.5,0,408.97770273685455
8,image (41).JPG,0,62.0,0,630.8427076339722
9,image (939).JPG,0,154.0,6.5,934.0285611152649
0,image (1040).JPG,0,120.0,32.0,749.2346239089966
1,image (968).JPG,0,85.5,23.5,676.4823168516159
2,image (795).JPG,0,46.0,0,286.3919162750244
3,image (1580).JPG,0,36547,2917.0,1208.9230035543442
4,image (320).JPG,0,23265.0,6163.5,650.156415939331
5,image (1212).JPG,0,62.5,11.5,270.2325359582901
6,image (588).JPG,0,55.5,0,320.43354642391205
7,image (170).JPG,0,54.0,0,326.4751765727997
8,image (715).JPG,0,76.0,3.0,443.87214517593384
9,image (335).JPG,0,56.5,0,405.0020879507065
0,image (1643).JPG,0,102.0,0.0,696.180801153183
1,image (1611).JPG,0,19980,7686.0,654.7665876150131
2,image (398).JPG,0,70.5,0,567.9137753248215
3,image (1098).JPG,0,38.0,0,395.36247873306274
4,image (26).JPG,0,48.5,36.0,509.6883796453476
5,image (53).JPG,0,13886,1364.0,382.6173119544983
6,image (1079).JPG,0,3.0,0,287.0538227558136
7,image (273).JPG,0,26100,8028.0,768.5239470005035
8,image (1396).JPG,0,18126,1671.0,692.1391710042953
9,image (1605).JPG,0,7938,257.0,421.90663504600525
0,image (1545).JPG,0,90.5,0,587.7960251569748
1,image (384).JPG,0,83.5,0,565.7127648591995
2,image (1159).JPG,0,37.5,0,207.86500489711761
3,image (1493).JPG,0,178.5,0.0,1219.2661494016647
4,image (1460).JPG,0,34400,1161.0,933.7787802219391
5,image (900).JPG,0,13193,2520.0,664.156415939331
6,image (631).JPG,0,140.0,135.5,982.0285611152649
7,image (1234).JPG,0,30231.5,11368.0,877.4772645235062
8,image (1507).JPG,0,188.0,0,1220.6214878559113
9,image (1047).JPG,0,99.0,1.0,780.3229365348816
0,image (1590).JPG,0,47.0,0,484.6173119544983
1,image (780).JPG,0,33.0,0,259.0782079696655
2,image (786).JPG,0,40630,6190.5,1401.6681703329086
3,image (1491).JPG,0,28248.0,14975.5,732.0975408554077
4,image (1385).JPG,0,24.0,0.0,183.82337474822998
5,image (91).JPG,0,4181,507.0,483.6051193475723
6,image (1011).JPG,0,56.5,0,460.3746713399887
7,image (481).JPG,0,33110,316.5,874.2884466648102
8,image (104).JPG,0,65.5,0,548.6000670194626
9,image (1042).JPG,0,64.0,0,385.9310202598572
0,image (674).JPG,0,43.0,0,518.4751765727997
1,image (754).JPG,0,40950,6456.5,1308.0113161802292
2,image (334).JPG,0,71.0,0,489.3868639469147
3,image (1051).JPG,0,30.5,0.0,431.8061298131943
4,image (830).JPG,0,7645,910.5,341.36247873306274
5,image (227).JPG,0,79.5,0,550.7422024011612
6,image (1442).JPG,0,24335,616.0,774.1635562181473
7,image (218).JPG,0,87.5,0,716.1391710042953
8,image (356).JPG,0,27000,207.5,559.369619011879
9,image (1004).JPG,0,16432,2161.5,616.4995617866516
0,image (1287).JPG,0,96.5,0,692.9675980806351
1,image (1559).JPG,0,22518,161.0,495.22748363018036
2,image (1608).JPG,0,15225,2740.0,513.0853482484818
3,image (1432).JPG,0,48.0,2.0,530.0731556415558
4,image (1564).JPG,0,36320,4996.5,1234.839743256569
5,image (536).JPG,0,55.0,0,372.81832242012024
6,image (875).JPG,0,62.5,0,322.71781718730927
7,image (207).JPG,0,34650,1209.5,685.6122596263885
8,image (1610).JPG,0,52.0,0,395.9898953437805
9,image (434).JPG,0,117.0,0.5,766.7493426799774
0,image (1227).JPG,0,187.0,13.0,1241.9351961612701
1,image (172).JPG,0,91.5,0.5,767.4528793096542
2,image (967).JPG,0,34.0,0,247.27921843528748
3,image (1304).JPG,0,104.5,3.0,763.5361396074295
4,image (271).JPG,0,99.5,0.0,589.1097334623337
5,image (659).JPG,0,27416,11323.5,848.6660823822021
6,image (1242).JPG,0,32.5,0,296.3502861261368
7,image (929).JPG,0,121.0,0.5,742.0630509853363
8,image (814).JPG,0,20998.5,0.0,580.8843377828598
9,image (1231).JPG,0,46.0,0.0,484.1320307254791
0,image (1103).JPG,0,60.0,0,404.96045780181885
1,image (169).JPG,0,96.0,0,717.0092282295227
2,image (1520).JPG,0,64.0,0,369.445739030838
3,image (73).JPG,0,24631.5,11827.5,678.4823168516159
4,image (595).JPG,0,36.5,0,449.9482651948929
5,image (1053).JPG,0,56.0,0,557.7300097942352
6,image (1130).JPG,0,21357,1366.5,878.8742331266403
7,image (470).JPG,0,16350,619.0,616.3746713399887
8,image (850).JPG,0,33.0,0,390.3919162750244
9,image (166).JPG,0,20952,3076.0,780.6072072982788
0,image (4).JPG,0,34068,8960.5,1265.727045416832
1,image (1087).JPG,0,97.5,0.0,758.080295920372
2,image (1618).JPG,0,39508,1213.5,1148.4722121953964
3,image (894).JPG,0,27029,919.5,1006.4305820465088
4,image (454).JPG,0,54.0,0,421.64674949645996
5,image (492).JPG,0,35828,3516.0,1188.9574934244156
6,image (239).JPG,0,87.0,0,508.29855132102966
7,image (707).JPG,0,83.5,0,692.8254626989365
8,image (294).JPG,0,103.5,0.0,1009.8204103708267
9,image (537).JPG,0,7482,197.0,421.1614682674408
0,image (1359).JPG,0,69.0,0.0,584.4995617866516
1,image (349).JPG,0,78.5,0,533.0853482484818
2,image (1376).JPG,0,63.5,19.5,542.457931637764
3,image (934).JPG,0,35310,295.5,899.8204103708267
4,image (35).JPG,0,51.5,0,376.2325359582901
5,image (1166).JPG,0,53.5,0.0,554.5168067216873
6,image (65).JPG,0,27722,6966.5,698.3818116188049
7,image (1171).JPG,0,18537,2304.0,486.1147857904434
8,image (238).JPG,0,8492,1583.0,433.4213538169861
9,image (1292).JPG,0,42075,14545.5,1609.550420165062
0,image (410).JPG,0,34880,538.5,1219.9696860313416
1,image (1263).JPG,0,10804,473.5,434.8599525690079
2,image (1347).JPG,0,90.5,1.5,673.1097334623337
3,image (355).JPG,0,50.5,0.0,422.71781718730927
4,image (1620).JPG,0,45.5,0,408.9188276529312
5,image (2).JPG,0,78.0,0,541.8132700920105
6,image (344).JPG,0,79.0,1.5,523.3279888629913
7,image (1264).JPG,0,11680,1062.0,365.20309841632843
8,image (1609).JPG,0,32853,2330.0,919.9381605386734
9,image (1386).JPG,0,74.5,0,677.0853482484818
0,image (178).JPG,0,16786,957.5,657.8965303897858
1,image (1333).JPG,0,19116,219.0,480.7594473361969
2,image (426).JPG,0,119.5,0,612.080295920372
3,image (1256).JPG,0,5175,1002.5,356.96045780181885
4,image (78).JPG,0,17250,931.5,559.6711347103119
5,image (1572).JPG,0,102.5,0.0,878.3645666837692
6,image (375).JPG,0,9982,1671.5,529.0437180995941
7,image (331).JPG,0,57.0,2.5,571.8721451759338
8,image (553).JPG,0,88.0,0,743.4112491607666
9,image (565).JPG,0,13013,3348.0,745.2762540578842
0,image (1222).JPG,0,38308,7527.5,857.5777697563171
1,image (440).JPG,0,69.0,0,461.5289993286133
2,image (1181).JPG,0,17680,948.5,556.4751765727997
3,image (828).JPG,0,28536,5889.0,817.1513636112213
4,image (370).JPG,0,21070,265.5,611.2518688440323
5,image (386).JPG,0,6254,629.5,284.2497808933258
6,image (257).JPG,0,62.5,0,376.03152549266815
7,image (354).JPG,0,107.5,0,553.7960251569748
8,image (1591).JPG,0,123.5,17.0,1046.3889518976212
9,image (418).JPG,0,24308,499.5,597.5706294775009
0,image (68).JPG,0,23490,675.0,562.6416971683502
1,image (1495).JPG,0,7497,624.5,449.48736917972565
2,image (1428).JPG,0,32964,312.0,696.9848430156708
3,image (1189).JPG,0,13764,1106.5,486.0975408554077
4,image (48).JPG,0,137.5,13.5,1106.4722121953964
5,image (261).JPG,0,35313,228.5,867.8620405197144
6,image (1390).JPG,0,35.5,0,219.86500489711761
7,image (254).JPG,0,87.0,0,635.269113779068
8,image (1526).JPG,0,36.0,0,235.42135381698608
9,image (1178).JPG,0,55.0,0,329.1614682674408
0,image (263).JPG,0,35.5,0,289.3208485841751
1,image (204).JPG,0,33635,4404.5,1076.2712017297745
2,image (1484).JPG,0,36348,1369.0,795.7371500730515
3,image (1229).JPG,0,33152,1575.0,1076.891478061676
4,image (1581).JPG,0,31050,401.0,888.5310872793198
5,image (149).JPG,0,52.0,0,349.1614682674408
6,image (836).JPG,0,25641,8471.0,808.080295920372
7,image (87).JPG,0,30.5,0,408.97770273685455
8,image (41).JPG,0,62.0,0,630.8427076339722
9,image (1580).JPG,0,36547,2917.0,1208.9230035543442
0,image (320).JPG,0,23265.0,6163.5,650.156415939331
1,image (1212).JPG,0,62.5,11.5,270.2325359582901
2,image (170).JPG,0,54.0,0,326.4751765727997
3,image (335).JPG,0,56.5,0,405.0020879507065
4,image (1643).JPG,0,102.0,0.0,696.180801153183
5,image (1611).JPG,0,19980,7686.0,654.7665876150131
6,image (398).JPG,0,70.5,0,567.9137753248215
7,image (26).JPG,0,48.5,36.0,509.6883796453476
8,image (53).JPG,0,13886,1364.0,382.6173119544983
9,image (273).JPG,0,26100,8028.0,768.5239470005035
0,image (1396).JPG,0,18126,1671.0,692.1391710042953
1,image (1605).JPG,0,7938,257.0,421.90663504600525
2,image (1545).JPG,0,90.5,0,587.7960251569748
3,image (384).JPG,0,83.5,0,565.7127648591995
4,image (1493).JPG,0,178.5,0.0,1219.2661494016647
5,image (1460).JPG,0,34400,1161.0,933.7787802219391
6,image (1234).JPG,0,30231.5,11368.0,877.4772645235062
7,image (1507).JPG,0,188.0,0,1220.6214878559113
8,image (1590).JPG,0,47.0,0,484.6173119544983
9,image (1491).JPG,0,28248.0,14975.5,732.0975408554077
0,image (1385).JPG,0,24.0,0.0,183.82337474822998
1,image (91).JPG,0,4181,507.0,483.6051193475723
2,image (481).JPG,0,33110,316.5,874.2884466648102
3,image (104).JPG,0,65.5,0,548.6000670194626
4,image (334).JPG,0,71.0,0,489.3868639469147
5,image (830).JPG,0,7645,910.5,341.36247873306274
6,image (227).JPG,0,79.5,0,550.7422024011612
7,image (1442).JPG,0,24335,616.0,774.1635562181473
8,image (218).JPG,0,87.5,0,716.1391710042953
9,image (356).JPG,0,27000,207.5,559.369619011879
0,image (1287).JPG,0,96.5,0,692.9675980806351
1,image (1559).JPG,0,22518,161.0,495.22748363018036
2,image (1608).JPG,0,15225,2740.0,513.0853482484818
3,image (1432).JPG,0,48.0,2.0,530.0731556415558
4,image (1564).JPG,0,36320,4996.5,1234.839743256569
5,image (536).JPG,0,55.0,0,372.81832242012024
6,image (207).JPG,0,34650,1209.5,685.6122596263885
7,image (1610).JPG,0,52.0,0,395.9898953437805
8,image (434).JPG,0,117.0,0.5,766.7493426799774
9,image (1227).JPG,0,187.0,13.0,1241.9351961612701
0,image (172).JPG,0,91.5,0.5,767.4528793096542
1,image (1304).JPG,0,104.5,3.0,763.5361396074295
2,image (271).JPG,0,99.5,0.0,589.1097334623337
3,image (1242).JPG,0,32.5,0,296.3502861261368
4,image (1231).JPG,0,46.0,0.0,484.1320307254791
5,image (169).JPG,0,96.0,0,717.0092282295227
6,image (1520).JPG,0,64.0,0,369.445739030838
7,image (73).JPG,0,24631.5,11827.5,678.4823168516159
8,image (470).JPG,0,16350,619.0,616.3746713399887
9,image (166).JPG,0,20952,3076.0,780.6072072982788
0,image (4).JPG,0,34068,8960.5,1265.727045416832
1,image (1618).JPG,0,39508,1213.5,1148.4722121953964
2,image (454).JPG,0,54.0,0,421.64674949645996
3,image (492).JPG,0,35828,3516.0,1188.9574934244156
4,image (239).JPG,0,87.0,0,508.29855132102966
5,image (294).JPG,0,103.5,0.0,1009.8204103708267
6,image (537).JPG,0,7482,197.0,421.1614682674408
7,image (1359).JPG,0,69.0,0.0,584.4995617866516
8,image (349).JPG,0,78.5,0,533.0853482484818
9,image (1376).JPG,0,63.5,19.5,542.457931637764
0,image (35).JPG,0,51.5,0,376.2325359582901
1,image (65).JPG,0,27722,6966.5,698.3818116188049
2,image (478).JPG,0,40824,2471.0,1149.3178842067719
3,image (1422).JPG,0,148.0,0,968.7737278938293
4,image (1533).JPG,0,72.0,0,686.6416971683502
5,image (96).JPG,0,55.5,0.0,402.71781718730927
6,image (1312).JPG,0,164.5,0.0,1052.8986183404922
7,image (1508).JPG,0,70.5,0,585.0853482484818
8,image (1255).JPG,0,69.5,0.0,823.168608546257
9,image (1380).JPG,0,42.0,0.0,280.3919162750244
0,image (1414).JPG,0,78.0,0,575.6122596263885
1,image (445).JPG,0,59.0,1.5,612.8427076339722
2,image (1341).JPG,0,128.5,37.5,783.8204103708267
3,image (1599).JPG,0,80.0,0.0,927.979790687561
4,image (1300).JPG,0,39271,13197.5,1461.248904466629
5,image (124).JPG,0,50.0,50.0,490.96045780181885
6,image (1388).JPG,0,39846,3530.0,1092.028561115265
7,image (1513).JPG,0,14400,150.0,420.57568180561066
8,image (1521).JPG,0,87.0,33.0,1020.1219260692596
9,image (402).JPG,0,37.0,13.5,240.5096664428711
0,image (256).JPG,0,132.0,0,999.8864257335663
1,image (563).JPG,0,42350,57264.5,897.1757488250732
2,image (1566).JPG,0,56.0,0.5,414.96045780181885
3,image (506).JPG,0,26.5,0,250.89444243907928
4,image (361).JPG,0,18500,242.5,708.9848430156708
5,image (43).JPG,0,27456,2566.5,599.7716399431229
6,image (160).JPG,0,30160,1160.5,736.156415939331
7,image (176).JPG,0,104.0,0,966.4894571304321
8,image (1529).JPG,0,67.0,58.5,649.1858534812927
9,image (152).JPG,0,127.5,85.0,691.3351291418076
0,image (1499).JPG,0,119.5,0,931.6193999052048
1,image (1454).JPG,0,138.0,1.5,969.0579986572266
2,image (1272).JPG,0,24150,70.5,681.9554054737091
3,image (1291).JPG,0,19566.0,0.0,639.0437180995941
4,image (479).JPG,0,9100,335.5,762.4823168516159
5,image (200).JPG,0,69.0,14.5,467.3868639469147
6,image (50).JPG,0,121.5,0.0,793.1341186761856
7,image (1627).JPG,0,31878,290.5,656.080295920372
8,image (1241).JPG,0,71.0,0,505.32798886299133
9,image (373).JPG,0,53.0,0,529.7888848781586
0,image (52).JPG,0,60.5,0,366.3746713399887
1,image (526).JPG,0,35953,1653.5,1162.8986183404922
2,image (228).JPG,0,42.0,0,256.73506212234497
3,image (1352).JPG,0,29468,651.5,619.168608546257
4,image (449).JPG,0,21715,273.5,627.5117543935776
5,image (351).JPG,0,56.5,0,625.8305150270462
6,image (1612).JPG,0,21000,507.5,512.6589421033859
7,image (1405).JPG,0,29008,605.5,852.1463112831116
8,image (1603).JPG,0,36.5,0,374.97770273685455
9,image (22).JPG,0,83.0,0.0,615.4701242446899
0,image (193).JPG,0,26310.5,243.5,649.7127648591995
1,image (469).JPG,0,26.0,0,201.13708305358887
2,image (235).JPG,0,64.0,0,359.9310202598572
3,image (397).JPG,0,22896,690.5,676.7838325500488
4,image (296).JPG,0,8988,79.5,349.4629839658737
5,image (240).JPG,0,20475,7564.0,580.357426404953
6,image (1292).JPG,0,42075,14545.5,1609.550420165062
7,image (1263).JPG,0,10804,473.5,434.8599525690079
8,image (1347).JPG,0,90.5,1.5,673.1097334623337
9,image (1620).JPG,0,45.5,0,408.9188276529312
0,image (2).JPG,0,78.0,0,541.8132700920105
1,image (1264).JPG,0,11680,1062.0,365.20309841632843
2,image (1609).JPG,0,32853,2330.0,919.9381605386734
3,image (1386).JPG,0,74.5,0,677.0853482484818
4,image (1333).JPG,0,19116,219.0,480.7594473361969
5,image (1256).JPG,0,5175,1002.5,356.96045780181885
6,image (1572).JPG,0,102.5,0.0,878.3645666837692
7,image (553).JPG,0,88.0,0,743.4112491607666
8,image (565).JPG,0,13013,3348.0,745.2762540578842
9,image (1222).JPG,0,38308,7527.5,857.5777697563171
0,image (1181).JPG,0,17680,948.5,556.4751765727997
1,image (828).JPG,0,28536,5889.0,817.1513636112213
2,image (1591).JPG,0,123.5,17.0,1046.3889518976212
3,image (1495).JPG,0,7497,624.5,449.48736917972565
4,image (1428).JPG,0,32964,312.0,696.9848430156708
5,image (1189).JPG,0,13764,1106.5,486.0975408554077
6,image (48).JPG,0,137.5,13.5,1106.4722121953964
7,image (1390).JPG,0,35.5,0,219.86500489711761
8,image (1526).JPG,0,36.0,0,235.42135381698608
9,image (1178).JPG,0,55.0,0,329.1614682674408
0,image (1484).JPG,0,36348,1369.0,795.7371500730515
1,image (1229).JPG,0,33152,1575.0,1076.891478061676
2,image (1581).JPG,0,31050,401.0,888.5310872793198
3,image (836).JPG,0,25641,8471.0,808.080295920372
4,image (41).JPG,0,62.0,0,630.8427076339722
5,image (1580).JPG,0,36547,2917.0,1208.9230035543442
6,image (1212).JPG,0,62.5,11.5,270.2325359582901
7,image (1643).JPG,0,102.0,0.0,696.180801153183
8,image (1611).JPG,0,19980,7686.0,654.7665876150131
9,image (26).JPG,0,48.5,36.0,509.6883796453476
0,image (1396).JPG,0,18126,1671.0,692.1391710042953
1,image (1605).JPG,0,7938,257.0,421.90663504600525
2,image (1545).JPG,0,90.5,0,587.7960251569748
3,image (1493).JPG,0,178.5,0.0,1219.2661494016647
4,image (1460).JPG,0,34400,1161.0,933.7787802219391
5,image (1234).JPG,0,30231.5,11368.0,877.4772645235062
6,image (1507).JPG,0,188.0,0,1220.6214878559113
7,image (1590).JPG,0,47.0,0,484.6173119544983
8,image (1491).JPG,0,28248.0,14975.5,732.0975408554077
9,image (1385).JPG,0,24.0,0.0,183.82337474822998
0,image (830).JPG,0,7645,910.5,341.36247873306274
1,image (1442).JPG,0,24335,616.0,774.1635562181473
2,image (1287).JPG,0,96.5,0,692.9675980806351
